,SnapDate,Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,Sector,SizeGroup,MtTot,MtUtil,MtTotInUtilPerc,Bdroom,Bath,Balcony,Parking,Storage,Pool,PriceUF,UFxMt2,Value,Score,Link
count,4004.0,4004,4004,4004,4004,4004,4004,4004.0,4004,4004,4004.0,4004.0,4004,4004.0,4004,4004.0,4004.0,4004.0,4004.0,4004.0,4004.0,4004.0,4004.0,4004.0,4004.0,4004.0,4004.0,4004.0,4004
unique,,1,1,49,13,2,2,,6,4,,,2,,15,,,,,,,,,,,,,,3975
top,,portal inmobiliario,rm,las condes,2020-07-17,aparment,usada,,disponible,-16,,,N,,80TO90,,,,,,,,,,,,,,https://www.portalinmobiliario.com/venta/casa/la-reina-metropolitana/7653-townhouse-garden-nva
freq,,4004,4004,845,840,2005,3976,,3942,3992,,,3612,,1343,,,,,,,,,,,,,,6
mean,20200718.0,,,,,,,-15.757242757242757,,,3266.853146853147,-15.916083916083917,,3.2814685314685317,,513.2672327672327,213.83441558441558,294.3319180819181,3.24000999000999,2.5214785214785214,0.34315684315684314,0.9488011988011988,0.5284715284715285,0.4835164835164835,9244.435064935065,109.42782217782218,5672.34040959041,568.9303196803197,
std,0.0,,,,,,,3.108578862294258,,,21247.27411401179,1.6077973410022015,,1.6281762873662313,,4630.257711419486,4074.8333856691193,3081.489615151089,1.3275036348254359,1.1195303482432861,0.4748226321234508,0.9286975837359723,0.5017466981722117,0.4997906351351488,5931.903457243693,589.2366317355178,46164.76733225917,5167.256452505075,
min,20200718.0,,,,,,,-16.0,,,-16.0,-16.0,,1.0,,-16.0,-16.0,-100.0,1.0,1.0,0.0,0.0,0.0,0.0,1041.0,0.0,6.0,3.0,
25%,20200718.0,,,,,,,-16.0,,,-16.0,-16.0,,2.0,,80.0,70.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,4166.0,55.0,977.0,186.75,
50%,20200718.0,,,,,,,-16.0,,,-16.0,-16.0,,4.0,,160.0,117.0,23.0,3.0,2.0,0.0,1.0,1.0,0.0,8470.0,71.0,2127.5,259.0,
75%,20200718.0,,,,,,,-16.0,,,-16.0,-16.0,,5.0,,318.25,170.0,116.0,4.0,3.0,1.0,1.0,1.0,1.0,13000.0,90.0,4006.5,385.0,
max,20200718.0,,,,,,,85.0,,,350000.0,33.0,,5.0,,220810.0,250201.0,130669.0,14.0,8.0,1.0,10.0,2.0,1.0,25000.0,24376.0,1803990.0,190409.0,
