Srce,Province,PublishedDate,PropertyType,PropertyState,MtTot,Bdroom,Bath,Parking,PriceUF,Link,Description
"propiedades emol","Santiago","Fecha publicación: 2020-07-07","Aparment","","M2 construidos: 110","Dormitorios: 3","Baños: 2","","$140.000.000","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-santiago-3-dormitorios-2-banos-codR76458549-6L0-1435.html","Departamento remodelado en pleno centro de Santiago de 110 metros cuadrados aproximados. Cercano a Metro Bellas Artes y Metro Santa Lucia a pasos de Plaza de Armas Municipalidad de Santiago Mall Vivo Imperio. Apto para uso residencial o comercial. Cuenta con 3 dormitorios y 2 baños ambos en suite. Living comedor con orientación Norte. Cocina tradicional. Pisos cerámicos en baños y cocina. Piso parquet en dormitorios living y pasillos. Termo para agua caliente. No tiene estacionamiento ni bodega. Gastos Comunes: $ 90.000 aproximados. Contribuciones: $ 41.000 aproximados. Más información: contacto@hrcorredores.com / +562 2233 2482 / +569 4286 8578 / +569 4286 8580 Ejecutiva: Denisse Osorio / dosorio@hrcorredores.com / +569 4286 8580"
"propiedades emol","Santiago","Fecha publicación: 2020-07-07","Aparment","","M2 construidos: 110","Dormitorios: 4","Baños: 3","","$160.000.000","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-santiago-4-dormitorios-3-banos-codR76888194-4L0-102028679.html","Se vende EXCELENTE departamento con PATIO para REMODELAR. Ubicado en un barrio privilegiado del sector Parque O´Higgins a pasos del Movistar Arena de Fantasilandia del Campus Beauchef de la Universidad de Chile. El depto. cuenta con una superficie total de 160m² (110 mts. construidos y 50 mts de patio aprox) Ubicado en un primer piso con un acogedor PATIO. Tiene 3 dormitorios amplios con dos baños más un dormitorio y baño de servicio. Living comedor de gran tamaño cocina tradicional patio de luz bodega y lavadero. Tiene Parquet en todo el departamento. NO tiene estacionamiento. Edificio de 4 pisos un depto. por piso."
"propiedades emol","Santiago","Fecha publicación: 2020-07-07","Aparment","","M2 construidos: 146","Dormitorios: 4","Baños: 2","","$139.000.000","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-santiago-4-dormitorios-2-banos-codR76490091-kL0-72.html","Amplio departamento en primer piso con entrada independiente. Excelente ubicación en Santiago; cercano a autopista Central y El Sol Metro Rondizzoni y nueva línea 6. Cuenta con living y comedor separados amplia cocina con comedor de diario patio de luz de 12 mts2. Cuatro dormitorios y dos baños. Departamento sin gastos comunes ni contribuciones. Agenda una visita con Nativo Propiedades."
"propiedades emol","Santiago","Fecha publicación: 2020-07-02","Aparment","","M2 construidos: 118","Dormitorios: 3","Baños: 2","","$190.000.000","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-santiago-3-dormitorios-2-banos-codR76917568-7L0-30.html","P.A.P SE VENDE DEPARTAMENTO COMUNA DE SANTIAGO. 3D - 2 BAÑOS Hermoso departamento que corresponde a un edificio de 4 pisos de varios años de antigüedad con hall de acceso y escaleras no posee ascensor se encuentra en muy buen estado de conservación ubicado en 4 piso con orientación poniente - oriente posee living comedor cocina independiente pieza de servicio con baño 3 dormitorios todos de gran tamaño y dos baños. Cercanías a área comercial y a Paseo Bulnes. Posee recepción final."
"propiedades emol","Santiago","Fecha publicación: 2020-07-07","Aparment","","M2 construidos: 118","Dormitorios: 4","Baños: 3","","$160.000.000","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-santiago-4-dormitorios-3-banos-codR76458549-6L0-1505.html","Amplio y cómodo departamento de 118 metros cuadrados aproximados en pleno barrio universitario a sólo 1 cuadra de Metro Toesca y a 3 cuadras del Metro Los Héroes. Cuenta con 4 dormitorios y 3 baños. Todos los dormitorios con closets; dormitorio principal con baño en el pasillo más 2 dormitorios amplios con baño incluido más un cuarto dormitorio. Espacioso living comedor y enorme cocina con despensa. Piso de parquet. Único departamento en el cuarto piso del edificio. Departamento tiene orientación poniente hacia un patio central del edificio. Muy tranquilo y seguro. No incluye estacionamiento tiene bodega en la azotea. Edificio sólido construido en los años 60 sin ascensor. Gastos Comunes: $ 35.000 aproximados. Contribuciones: $ 95.000 aproximados. UN BELLO LUGAR PARA VIVIR! Más información: contacto@hrcorredores.com / +562 2233 2482 / +569 4286 8578 /+569 7775 3437 Ejecutiva: Laura Cabeza Moyano / lcabeza@hrcorredores.com / +569 77753437"
"propiedades emol","Santiago","Fecha publicación: 2020-07-07","Aparment","","M2 construidos: 100","Dormitorios: 3","Baños: 2","","$140.000.001","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-santiago-3-dormitorios-2-banos-codR99524100-5L0-102003224.html","DEPARTAMENTO EN SANTIAGO CENTRO SANTO DOMINGO A UNA CUADRA METRO PLAZA DE ARMAS L5 Y PRÓXIMA COMBINACIÓN L3 CARCATERISTICAS 100 M2 3 DORMITORIOS 2 BAÑOS LIVING COMEDOR COCINA TRADICIONAL PIEZA DE SERVICIO CON BAÑO TODOS LOS DORMITORIOS TIENEN DOBLE VENTANA. LLAMAR A LPM GESTIÓN 222200412 COD 3224."
"propiedades emol","Santiago","Fecha publicación: 2020-07-07","Aparment","","M2 construidos: 110","Dormitorios: 3","Baños: 2","","4.585 UF","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-santiago-3-dormitorios-2-banos-codR89036300-8L0-45482.html","WWW. PROCASA.CL BAEZA (CÓDIGO INTERNO 43638) ACEPTA OFERTA METRO BELLAS ARTES // SANTIAGO CENTRO - PLAZA DE ARMAS. EXCELENTE OFICINA EN SANTIAGO CENTRO. USO PARA OFICINA O HABITACIONAL CON -3 PRIVADO 2 BAÑOS- COCINA A pasos del PLAZA DE ARMAS restaurantes cafés y comercio en general. CON ASCENSOR. Se encuentra disponible - vacio"
"propiedades emol","Santiago","Fecha publicación: 2020-07-07","Aparment","","M2 construidos: 150","Dormitorios: 6","Baños: 3","","6.500 UF","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-santiago-6-dormitorios-3-banos-codR76105406-6L0-45427.html","Www.procasa.cl MAURICIO PINO PROPIEDADES. CÓDIGO 45427. VENDE GRAN DEPARTAMENTO DE 6 DORMITORIOS 3 BAÑOS GRAN LIVING COMEDOR AMPLIA COCINA EDIFICIO NEO-CLÁSICO DE ESTILO FRANCÉS. Increíble inmueble en excelente estado con pisos de parque hall de acceso gran living comedor gran cocina amplio dormitorio en suite grandes dormitorios baño y baño de visita. Amplios closets y despensa. Edificio con hermosa arquitectura neoclásica. A PASOS DE METRO MONEDA Y EJE BULNES. Cercano a comercio servicios y PARQUE ALMAGRO. Gastos comunes de $90.000 aprox.- Contribuciones $155.000 aprox.-"
"propiedades emol","Santiago","Fecha publicación: 2020-07-07","Aparment","","M2 construidos: 104","Dormitorios: 4","Baños: 2","","5.500 UF","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-santiago-4-dormitorios-2-banos-codR76545471-9L0-40259.html","PROCASA CENTRO SANTIAGO (AG): Vende ESPACIOSO Dpto METRO O´HIGGINS con GRAN TERRAZA cocina tradicional piso flotante dormitorio en suite. Cercano a colegios universidades farmacias mini market. Hermosa vista. Ubicado a sólo una cuadra de la Av. Viel. Cuenta con ESTACIONAMIENTO. Sin Bodega."
"propiedades emol","Santiago","Fecha publicación: 2020-07-07","Aparment","","M2 construidos: 100","Dormitorios: 3","Baños: 2","","5.240 UF","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-santiago-3-dormitorios-2-banos-codR76063424-7L0-102035059.html","100/160 m2 aprox. Primer piso con PATIO!! Es un departamento por piso. Edificio de 3 pisos. Hall de entrada living comedor 3 Dormitorios 2 baños pieza de servicio más baño de servicio cocina logia grande patio de luz.Tiene Parquet en todo el departamento en muy buen estado.1 BodegaNo estacionamientoExcelente conectividad cercano a supermercados metros Toesca Parque O´Higgins."
