Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,MtTot,MtUtil,Bdroom,Bath,Parking,Storage,Pool,PriceUF,Link
"portal inmobiliario","rm","santiago","18/07/2020","aparment","usada","-16","Done","-16","-16","-16","N","50","50","2","1","1","1","0","4861","https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5724967-merced-lastarria-metro-lastarria-uda#position=24&type=item&tracking_id=f2b208bf-6a82-4746-91a5-62a916018adf"
"portal inmobiliario","rm","penalolen","18/07/2020","aparment","usada","-16","Done","-16","-16","-16","N","75","72","2","2","1","1","1","5890","https://www.portalinmobiliario.com/venta/departamento/penalolen-metropolitana/5724667-metro-quilin-frente-colegio-pedro-de-valdivia-uda#position=48&type=item&tracking_id=b4643808-5b79-423b-b71e-66c0eda8f4af"
"portal inmobiliario","rm","santiago","15/07/2020","aparment","usada","-16","Done","-16","-16","-16","N","105","93","4","3","1","1","1","6000","https://www.portalinmobiliario.com/mlc-536823999-departamento-en-venta-de-4-dorm-en-santiago-_jm#position=23&type=item&tracking_id=3ad4c99d-ea38-4e9a-a85c-80b7d26ff723"
"portal inmobiliario","rm","providencia","17/07/2020","aparment","usada","-16","Done","-16","-16","-16","N","144","114","3","3","2","1","1","12500","https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5723180-el-vergel-holanda-uda#position=40&type=item&tracking_id=20a67303-b373-4dc5-b360-08cc4839f986"
"portal inmobiliario","rm","nunoa","18/07/2020","aparment","usada","-16","Done","-16","-16","-16","N","41","41","1","1","1","1","1","3600","https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/5724682-emilio-vaisse-av-irarrazaval-uda#position=37&type=item&tracking_id=b4643808-5b79-423b-b71e-66c0eda8f4af"
"portal inmobiliario","rm","las condes","17/07/2020","aparment","usada","-16","Done","-16","-16","-16","N","134","134","3","3","0","0","1","11406","https://www.portalinmobiliario.com/mlc-537044871-departamento-en-venta-de-3-dorm-en-las-condes-_jm#position=32&type=item&tracking_id=da7c6b4e-09c8-49f5-8adc-2dfe094dae2b"
"portal inmobiliario","rm","santiago","15/07/2020","aparment","usada","-16","Done","-16","-16","-16","Y","43","41","2","1","1","1","1","2409","https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5720182-metro-almagro-uda#position=13&type=item&tracking_id=3c7cdc27-6fb8-461a-beba-cdea3cfc12ad"
"portal inmobiliario","rm","nunoa","18/07/2020","aparment","usada","-16","Done","-16","-16","-16","N","280","140","3","4","2","1","1","13400","https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/5725024-exclusivounico-2-departamentos-unidos-140-metros-de-terraza-uda#position=16&type=item&tracking_id=f2b208bf-6a82-4746-91a5-62a916018adf"
"portal inmobiliario","rm","providencia","14/07/2020","aparment","usada","-16","Done","-16","-16","-16","N","78","70","2","2","1","1","1","6470","https://www.portalinmobiliario.com/mlc-536680461-departamento-en-venta-de-2-dormitorios-en-providencia-_jm#position=4&type=item&tracking_id=6d0f6ccc-ec2e-4767-874d-f21ee53f43cc"
"portal inmobiliario","rm","santiago","18/07/2020","aparment","usada","-16","Done","-16","-16","-16","N","57","55","2","2","1","1","1","4100","https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5724702-frente-plaza-san-isidroimpecable-uda#position=33&type=item&tracking_id=b4643808-5b79-423b-b71e-66c0eda8f4af"
"portal inmobiliario","rm","lo barnechea","16/07/2020","aparment","usada","-16","Done","-16","-16","-16","N","160","140","3","3","0","1","0","13620","https://www.portalinmobiliario.com/venta/departamento/lo-barnechea-metropolitana/5722288-16357-el-candil-dehesa-central-uda#position=40&type=item&tracking_id=c8b3a3f4-b6d8-4f34-a3ca-b46b4cebba29"
"portal inmobiliario","rm","santiago","15/07/2020","aparment","usada","-16","Done","-16","-16","-16","N","53","50","2","2","1","1","1","3087","https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5720507-dieciocho-10-de-julio-uda#position=20&type=item&tracking_id=caeef881-25ea-4a1f-9476-4b991f45af80"
"portal inmobiliario","rm","vitacura","17/07/2020","aparment","usada","-16","Done","-16","-16","-16","N","170","140","4","4","1","1","1","13000","https://www.portalinmobiliario.com/mlc-537043430-departamento-en-venta-de-4-dorm-en-vitacura-_jm#position=17&type=item&tracking_id=5b927d6b-2d3c-4a64-82e9-6c5b7b759150"
"portal inmobiliario","rm","las condes","14/07/2020","aparment","usada","-16","Done","-16","-16","-16","N","-16","198","3","2","1","1","0","14100","https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5718710-el-golf-uda#position=24&type=item&tracking_id=dd31e79d-f174-4687-b513-02cf5440e3c0"
"portal inmobiliario","rm","nunoa","13/07/2020","aparment","usada","-16","Done","-16","-16","-16","N","124","115","4","3","1","1","0","7900","https://www.portalinmobiliario.com/mlc-536511396-en-el-corazon-de-nunoa-_jm#position=7&type=item&tracking_id=bc557f23-440c-438e-81ac-1a44314640e9"
"portal inmobiliario","rm","las condes","13/07/2020","aparment","usada","-16","Done","-16","-16","-16","N","148","130","3","4","2","1","1","9800","https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5718159-excelente-departamento-con-bodega-y-dos-estacionamiento-las-condes-uda#position=18&type=item&tracking_id=524217f3-e211-41b9-9313-eadace72981d"
"portal inmobiliario","rm","santiago","14/07/2020","aparment","usada","-16","Done","-16","-16","-16","N","64","60","2","1","2","1","1","4200","https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5719368-avenida-almirante-blanco-encalada-1727-uda#position=9&type=item&tracking_id=74f436cf-5024-4b87-8c04-cdea67051c68"
"portal inmobiliario","rm","providencia","15/07/2020","aparment","usada","-16","Done","-16","-16","-16","N","45","45","2","1","0","1","0","4800","https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5720992-luis-thayer-ojeda-eleodoro-yanez-uda#position=31&type=item&tracking_id=700b3753-3c55-4408-ad96-5748ac0fa507"
"portal inmobiliario","rm","puente alto","17/07/2020","aparment","usada","-16","Done","-16","-16","-16","N","48","48","3","1","0","1","0","1909","https://www.portalinmobiliario.com/venta/departamento/estacion-central-metropolitana/5723626-la-portada-uda#position=12&type=item&tracking_id=d3250235-d709-49bd-9f51-193e1bb8ce55"
"portal inmobiliario","rm","providencia","14/07/2020","aparment","usada","-16","Done","-16","-16","-16","N","108","100","3","2","1","1","0","8541","https://www.portalinmobiliario.com/mlc-536672747-departamento-en-venta-de-3-dorm-en-providencia-_jm#position=17&type=item&tracking_id=dd31e79d-f174-4687-b513-02cf5440e3c0"
"portal inmobiliario","rm","las condes","17/07/2020","aparment","usada","-16","Done","-16","-16","-16","N","145","128","3","3","1","1","1","12800","https://www.portalinmobiliario.com/mlc-537048237-departamento-en-venta-de-3-dorm-en-las-condes-_jm#position=38&type=item&tracking_id=681a29e3-34fa-47de-b92e-564d7dd8eb61"
"portal inmobiliario","rm","vitacura","15/07/2020","aparment","usada","-16","Done","-16","-16","-16","N","142","126","3","3","2","1","1","11200","https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/5721304-colegio-tabancuralas-hualtatas-uda#position=24&type=item&tracking_id=3ad4c99d-ea38-4e9a-a85c-80b7d26ff723"
"portal inmobiliario","rm","estacion central","17/07/2020","aparment","usada","-16","Done","-16","-16","-16","Y","27","27","1","1","0","0","0","1799","https://www.portalinmobiliario.com/venta/departamento/estacion-central-metropolitana/5723805-las-rejas-norte-uda#position=14&type=item&tracking_id=2871ab16-0b71-44d2-9814-160b89f30d30"
"portal inmobiliario","rm","lo conchali","17/07/2020","aparment","usada","-16","Done","-16","-16","-16","N","65","62","3","2","1","1","1","2569","https://www.portalinmobiliario.com/venta/departamento/conchali-metropolitana/5723092-gambino-dorsal-uda#position=27&type=item&tracking_id=4bea0174-a997-450d-a8bc-4cc27c8393d3"
"portal inmobiliario","rm","nunoa","17/07/2020","aparment","usada","-16","Done","-16","-16","-16","N","104","96","3","2","1","1","1","6500","https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/5724481-impecable-departamento-a-pasos-de-irarrazabal-metro-plaza-egana-uda#position=14&type=item&tracking_id=681a29e3-34fa-47de-b92e-564d7dd8eb61"
"portal inmobiliario","rm","santiago","18/07/2020","aparment","usada","-16","Done","-16","-16","-16","N","72","70","2","2","1","1","0","3472","https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5724721-luminoso-departamento-cercano-a-metro-santa-ana-uda#position=27&type=item&tracking_id=b4643808-5b79-423b-b71e-66c0eda8f4af"
"portal inmobiliario","rm","las condes","17/07/2020","aparment","usada","-16","Done","-16","-16","-16","N","151","127","3","3","2","1","1","12700","https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5363009-geronimo-alderete-cercano-a-colegio-aleman-uda#position=42&type=item&tracking_id=a014fccd-0ed8-473b-b46f-74dbd99e506f"
"portal inmobiliario","rm","las condes","15/07/2020","aparment","usada","-16","Done","-16","350000","-16","N","302","168","2","3","1","1","1","19855","https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5720102-san-francisco-de-asis-2041-departamento-d404-uda#position=28&type=item&tracking_id=3c7cdc27-6fb8-461a-beba-cdea3cfc12ad"
"portal inmobiliario","rm","independencia","13/07/2020","aparment","usada","-16","Done","-16","-16","-16","N","39","37","2","1","1","0","1","2200","https://www.portalinmobiliario.com/venta/departamento/independencia-metropolitana/5704514-leonor-cepeda-uda#position=27&type=item&tracking_id=2cfd75f3-0af5-446b-87f4-05162c454914"
"portal inmobiliario","rm","las condes","18/07/2020","aparment","usada","-16","Done","-16","-16","-16","N","210","210","4","3","3","1","0","14800","https://www.portalinmobiliario.com/mlc-537225944-el-remanso-uda-udad-duoc-_jm#position=36&type=item&tracking_id=f2b208bf-6a82-4746-91a5-62a916018adf"
"portal inmobiliario","rm","san miguel","14/07/2020","aparment","usada","-16","Done","-16","-16","-16","N","47","45","2","2","1","0","1","2800","https://www.portalinmobiliario.com/venta/departamento/san-miguel-metropolitana/5719812-metro-san-miguel-uda#position=36&type=item&tracking_id=a09bd7af-c293-477e-bbaf-6280f715e714"
"portal inmobiliario","rm","vitacura","17/07/2020","aparment","usada","-16","Done","-16","-16","-16","N","143","135","3","3","2","1","0","11700","https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/5722842-pedro-de-villagra-alonso-de-cordova-0-uda#position=40&type=item&tracking_id=a014fccd-0ed8-473b-b46f-74dbd99e506f"
"portal inmobiliario","rm","providencia","16/07/2020","aparment","usada","-16","Done","-16","-16","-16","N","130","120","4","3","1","1","0","7638","https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5722149-metro-tobalaba-pio-x-universidad-san-sebastian-uda#position=44&type=item&tracking_id=3089bb09-f34d-4605-8cc8-3636b8e3845d"
"portal inmobiliario","rm","las condes","15/07/2020","aparment","usada","-16","Done","-16","350000","-16","N","302","181","3","3","1","1","1","17612","https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5720247-av-la-plaza-san-francisco-de-asis-uda#position=38&type=item&tracking_id=6fc0f840-872c-4aa2-be31-e9d5e96cb753"
"portal inmobiliario","rm","lo barnechea","18/07/2020","aparment","usada","-16","Done","-16","-16","-16","N","134","124","3","3","2","1","1","10500","https://www.portalinmobiliario.com/venta/departamento/lo-barnechea-metropolitana/5725056-camino-del-atardecer-vista-3d3b-2-estacionamientos-remodelado-uda#position=12&type=item&tracking_id=f2b208bf-6a82-4746-91a5-62a916018adf"
"portal inmobiliario","rm","las condes","16/07/2020","aparment","usada","-16","Done","-16","-16","-16","N","110","101","4","3","1","1","1","10550","https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5721989-metro-manquehue-alonso-de-cordovao-connell-uda#position=34&type=item&tracking_id=ac8d6244-7835-4611-a4bb-0c0bb613d63d"
"portal inmobiliario","rm","lo barnechea","14/07/2020","aparment","usada","-16","Done","-16","-16","-16","N","131","81","2","3","1","1","0","11290","https://www.portalinmobiliario.com/venta/departamento/lo-barnechea-metropolitana/5718647-departamento-nuevosin-comision-con-jardin-inversion-ideal-uda#position=35&type=item&tracking_id=dd31e79d-f174-4687-b513-02cf5440e3c0"
"portal inmobiliario","rm","vitacura","16/07/2020","aparment","usada","-16","Done","-16","-16","-16","N","9","127","3","2","1","1","0","15300","https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/5722071-jardin-del-este-agustin-del-castilloa-uda#position=21&type=item&tracking_id=ac8d6244-7835-4611-a4bb-0c0bb613d63d"
"portal inmobiliario","rm","vitacura","17/07/2020","aparment","usada","-16","Done","-16","-16","-16","N","175","129","3","3","2","1","1","15500","https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/5723077-mar-jonico-nilo-azul-uda#position=42&type=item&tracking_id=4bea0174-a997-450d-a8bc-4cc27c8393d3"
"portal inmobiliario","rm","vitacura","16/07/2020","aparment","usada","-16","Done","-16","-16","-16","N","90","83","2","2","1","1","0","11206","https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/5722227-vitacura-nuevos-123-d-uda#position=10&type=item&tracking_id=3089bb09-f34d-4605-8cc8-3636b8e3845d"
"portal inmobiliario","rm","lo barnechea","17/07/2020","aparment","usada","-16","Done","-16","-16","-16","N","80","80","2","2","0","0","1","7200","https://www.portalinmobiliario.com/mlc-537039261-dehesa-central-_jm#position=6&type=item&tracking_id=35c8ce0a-1946-4f4c-a1d7-401f21e4922f"
"portal inmobiliario","rm","providencia","16/07/2020","aparment","usada","-16","Done","-16","-16","-16","N","310","220","2","3","1","1","1","13990","https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5722177-willie-arthur-con-av-diego-de-almagro-uda#position=35&type=item&tracking_id=3089bb09-f34d-4605-8cc8-3636b8e3845d"
"portal inmobiliario","rm","providencia","15/07/2020","aparment","usada","-16","Done","-16","-16","-16","N","150","140","3","3","0","0","0","9100","https://www.portalinmobiliario.com/mlc-536814518-departamento-en-venta-de-3-dorm-en-providencia-_jm#position=50&type=item&tracking_id=3ad4c99d-ea38-4e9a-a85c-80b7d26ff723"
"portal inmobiliario","rm","providencia","14/07/2020","aparment","usada","-16","Done","-16","-16","-16","N","84","74","2","2","1","1","1","5200","https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5719819-av-salvador-880-uda#position=30&type=item&tracking_id=a09bd7af-c293-477e-bbaf-6280f715e714"
"portal inmobiliario","rm","las condes","13/07/2020","aparment","usada","-16","Done","-16","-16","-16","N","195","170","3","3","3","1","1","14500","https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5717541-colegio-aleman-oscar-tenhann-uda#position=32&type=item&tracking_id=bc557f23-440c-438e-81ac-1a44314640e9"
"portal inmobiliario","rm","las condes","18/07/2020","aparment","usada","-16","Done","-16","-16","-16","N","115","99","3","3","1","1","1","8000","https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5724922-av-cristobal-colon-felix-de-amesti-av-americo-vespucio-uda#position=35&type=item&tracking_id=f2b208bf-6a82-4746-91a5-62a916018adf"
"portal inmobiliario","rm","vitacura","17/07/2020","aparment","usada","-16","Done","-16","-16","-16","N","170","140","4","4","2","1","1","13850","https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/5724048-el-arcangel-las-hualtatas-0-uda#position=23&type=item&tracking_id=5b927d6b-2d3c-4a64-82e9-6c5b7b759150"
